segment_id,market,start_event_id,end_event_id,start_time,end_time,start_available_at,end_available_at,start_price,end_price,move_pct,duration_days,confirmation_reason,is_open
MKS0001,bull,INITIAL_BULL,MKT0005,2017-08-17T00:00:00+00:00,2017-12-17T00:00:00+00:00,2017-08-17T23:59:59.999000+00:00,2017-12-17T23:59:59.999000+00:00,4285.08,19798.68,3.620376,122.0,confirmed_bull_market_until_structural_bear_break,False
MKS0002,bear,MKT0005,MKT0006,2017-12-17T00:00:00+00:00,2018-12-15T00:00:00+00:00,2017-12-17T23:59:59.999000+00:00,2018-12-15T23:59:59.999000+00:00,19798.68,3156.26,-0.840582,363.0,confirmed_bear_market_until_structural_bull_break,False
MKS0003,bull,MKT0006,MKT0007,2018-12-15T00:00:00+00:00,2019-06-26T00:00:00+00:00,2018-12-15T23:59:59.999000+00:00,2019-06-26T23:59:59.999000+00:00,3156.26,13970.0,3.426125,193.0,confirmed_bull_market_until_structural_bear_break,False
MKS0004,bear,MKT0007,MKT0008,2019-06-26T00:00:00+00:00,2020-03-13T00:00:00+00:00,2019-06-26T23:59:59.999000+00:00,2020-03-13T23:59:59.999000+00:00,13970.0,3621.81,-0.740744,261.0,confirmed_bear_market_until_structural_bull_break,False
MKS0005,bull,MKT0008,MKT0013,2020-03-13T00:00:00+00:00,2021-11-10T00:00:00+00:00,2020-03-13T23:59:59.999000+00:00,2021-11-10T23:59:59.999000+00:00,3621.81,69198.7,18.10611,607.0,confirmed_bull_market_until_structural_bear_break,False
MKS0006,bear,MKT0013,MKT0014,2021-11-10T00:00:00+00:00,2022-11-21T00:00:00+00:00,2021-11-10T23:59:59.999000+00:00,2022-11-21T23:59:59.999000+00:00,69198.7,15443.2,-0.776828,376.0,confirmed_bear_market_until_structural_bull_break,False
MKS0007,bull,MKT0014,MKT0019,2022-11-21T00:00:00+00:00,2025-10-06T00:00:00+00:00,2022-11-21T23:59:59.999000+00:00,2025-10-06T23:59:59.999000+00:00,15443.2,126208.5,7.172432,1050.0,open_bull_market_until_current_ath,False
MKS0008,bear,MKT0019,OPEN_BEAR_TAIL,2025-10-06T00:00:00+00:00,2026-07-07T00:00:00+00:00,2025-10-06T23:59:59.999000+00:00,2026-07-07T23:59:59.999000+00:00,126208.5,59800.0,-0.526181,274.0,open_bear_market_candidate_tail,True
