segment_id,regime,start_time,end_time,start_price,end_price,regime_anchor_time,regime_anchor_price,confirmation_reason,is_open
RFS0001,bull,2017-08-17T00:00:00+00:00,2017-12-17T00:00:00+00:00,4285.08,19798.68,2017-12-17T00:00:00+00:00,19798.68,confirmed_bull_until_bear_break,False
RFS0002,bear,2017-12-17T00:00:00+00:00,2018-02-06T00:00:00+00:00,19798.68,6000.01,2017-12-17T00:00:00+00:00,19798.68,confirmed_bear_until_bull_break,False
RFS0003,bull,2018-02-06T00:00:00+00:00,2017-12-17T00:00:00+00:00,6000.01,19798.68,2017-12-17T00:00:00+00:00,19798.68,confirmed_bull_until_bear_break,False
RFS0004,bear,2017-12-17T00:00:00+00:00,2018-06-24T00:00:00+00:00,19798.68,5750.0,2017-12-17T00:00:00+00:00,19798.68,confirmed_bear_until_bull_break,False
RFS0005,bull,2018-06-24T00:00:00+00:00,2017-12-17T00:00:00+00:00,5750.0,19798.68,2017-12-17T00:00:00+00:00,19798.68,confirmed_bull_until_bear_break,False
RFS0006,bear,2017-12-17T00:00:00+00:00,2018-12-15T00:00:00+00:00,19798.68,3156.26,2017-12-17T00:00:00+00:00,19798.68,confirmed_bear_until_bull_break,False
RFS0007,bull,2018-12-15T00:00:00+00:00,2017-12-17T00:00:00+00:00,3156.26,19798.68,2017-12-17T00:00:00+00:00,19798.68,confirmed_bull_until_bear_break,False
RFS0008,bear,2017-12-17T00:00:00+00:00,2020-03-13T00:00:00+00:00,19798.68,3621.81,2017-12-17T00:00:00+00:00,19798.68,confirmed_bear_until_bull_break,False
RFS0009,bull,2020-03-13T00:00:00+00:00,2021-04-14T00:00:00+00:00,3621.81,64986.11,2021-04-14T00:00:00+00:00,64986.11,confirmed_bull_until_bear_break,False
RFS0010,bear,2021-04-14T00:00:00+00:00,2021-05-19T00:00:00+00:00,64986.11,28688.0,2021-04-14T00:00:00+00:00,64986.11,confirmed_bear_until_bull_break,False
RFS0011,bull,2021-05-19T00:00:00+00:00,2021-11-10T00:00:00+00:00,28688.0,69198.7,2021-11-10T00:00:00+00:00,69198.7,confirmed_bull_until_bear_break,False
RFS0012,bear,2021-11-10T00:00:00+00:00,2022-11-21T00:00:00+00:00,69198.7,15443.2,2021-11-10T00:00:00+00:00,69198.7,confirmed_bear_until_bull_break,False
RFS0013,bull,2022-11-21T00:00:00+00:00,2024-03-14T00:00:00+00:00,15443.2,73881.4,2024-03-14T00:00:00+00:00,73881.4,confirmed_bull_until_bear_break,False
RFS0014,bear,2024-03-14T00:00:00+00:00,2024-08-05T00:00:00+00:00,73881.4,48888.0,2024-03-14T00:00:00+00:00,73881.4,confirmed_bear_until_bull_break,False
RFS0015,bull,2024-08-05T00:00:00+00:00,2025-10-06T00:00:00+00:00,48888.0,126208.5,2025-10-06T00:00:00+00:00,126208.5,confirmed_bull_until_bear_break,False
RFS0016,bear,2025-10-06T00:00:00+00:00,2026-07-07T00:00:00+00:00,126208.5,63482.1,2025-10-06T00:00:00+00:00,126208.5,open_current_bear_regime_tail,True
