open_datetime,close_datetime,close,regime,current_extreme
2017-08-17T00:00:00+00:00,2017-08-17T23:59:59.999000+00:00,4285.08,bull,2017-08-17T00:00:00+00:00|4485.39
2017-08-18T00:00:00+00:00,2017-08-18T23:59:59.999000+00:00,4108.37,bull,2017-08-17T00:00:00+00:00|4485.39
2017-08-19T00:00:00+00:00,2017-08-19T23:59:59.999000+00:00,4139.98,bull,2017-08-17T00:00:00+00:00|4485.39
2017-08-20T00:00:00+00:00,2017-08-20T23:59:59.999000+00:00,4086.29,bull,2017-08-17T00:00:00+00:00|4485.39
2017-08-21T00:00:00+00:00,2017-08-21T23:59:59.999000+00:00,4016.0,bull,2017-08-17T00:00:00+00:00|4485.39
2017-08-22T00:00:00+00:00,2017-08-22T23:59:59.999000+00:00,4040.0,bull,2017-08-17T00:00:00+00:00|4485.39
2017-08-23T00:00:00+00:00,2017-08-23T23:59:59.999000+00:00,4114.01,bull,2017-08-17T00:00:00+00:00|4485.39
2017-08-24T00:00:00+00:00,2017-08-24T23:59:59.999000+00:00,4316.01,bull,2017-08-17T00:00:00+00:00|4485.39
2017-08-25T00:00:00+00:00,2017-08-25T23:59:59.999000+00:00,4280.68,bull,2017-08-17T00:00:00+00:00|4485.39
2017-08-26T00:00:00+00:00,2017-08-26T23:59:59.999000+00:00,4337.44,bull,2017-08-17T00:00:00+00:00|4485.39
2017-08-27T00:00:00+00:00,2017-08-27T23:59:59.999000+00:00,4310.01,bull,2017-08-17T00:00:00+00:00|4485.39
2017-08-28T00:00:00+00:00,2017-08-28T23:59:59.999000+00:00,4386.69,bull,2017-08-17T00:00:00+00:00|4485.39
2017-08-29T00:00:00+00:00,2017-08-29T23:59:59.999000+00:00,4587.48,bull,2017-08-29T00:00:00+00:00|4625.85
2017-08-30T00:00:00+00:00,2017-08-30T23:59:59.999000+00:00,4555.14,bull,2017-08-30T00:00:00+00:00|4647.51
2017-08-31T00:00:00+00:00,2017-08-31T23:59:59.999000+00:00,4724.89,bull,2017-08-31T00:00:00+00:00|4745.42
